English,Hindi
a,एक
about,के बारे में
all,सब
also,भी
and,तथा
as,जैसा
at,पर
be,होना
because,इसलिये
but,लेकिन
by,द्वारा
can,कर सकते हैं
come,आइए
could,सकता है
day,दिन
do,करना
even,यहाँ तक की
find,पाना
first,पहला
for,के लिये
from,से
get,प्राप्त
give,देना
go,जाओ
have,पास होना
he,वह
her,उसकी
here,यहां
him,उसे
his,उसके
how,कैसे
I,मैं
if,यदि
in,में
into,में
it,यह
its,इसका
just,अभी-अभी
know,जानना
like,पसंद करना
look,देखना
make,बनाना
man,आदमी
many,बहुत सा
me,मुझे
more,अधिक
my,मेरे
new,नया
no,नहीं
not,नहीं
now,अभी व
of,का
on,पर
one,एक
only,केवल
or,या
other,अन्य
our,हमारी
out,बाहर
people,लोग
say,कहो
see,देखना
she,वह
so,इसलिए
some,कुछ
take,लेना
tell,बताना
than,बजाय
that,वह
their,उनका
them,उन्हें
then,फिर
there,वहां
these,इन
they,वे
thing,चीज़
think,सोच
this,यह
those,वे
time,समय
to,प्रति
two,दो
up,ऊपर
use,उपयोग
very,बहुत
want,चाहते हैं
way,मार्ग
we,हम
well,कुंआ
what,क्या
when,जब
which,कौन सा
who,कौन
will,मर्जी
with,साथ
would,चाहेंगे
year,साल
you,तुम
your,आपका
