English,Hindi
a,एक
about,के बारे में
all,सब
and,तथा
as,जैसा
at,पर
be,होना
because,इसलिये
by,द्वारा
can,कर सकते हैं
come,आइए
could,सकता है
do,करना
even,यहाँ तक की
find,पाना
first,पहला
from,से
get,प्राप्त
give,देना
have,पास होना
he,वह
her,उसकी
here,यहां
him,उसे
his,उसके
how,कैसे
I,मैं
if,यदि
in,में
into,में
it,यह
its,इसका
just,अभी-अभी
know,जानना
like,पसंद करना
look,देखना
make,बनाना
man,आदमी
me,मुझे
more,अधिक
my,मेरे
new,नया
no,नहीं
now,अभी व
of,का
on,पर
one,एक
only,केवल
or,या
other,अन्य
our,हमारी
out,बाहर
people,लोग
say,कहो
she,वह
so,इसलिए
some,कुछ
take,लेना
tell,बताना
that,वह
them,उन्हें
then,फिर
there,वहां
these,इन
they,वे
thing,चीज़
think,सोच
those,वे
two,दो
use,उपयोग
very,बहुत
want,चाहते हैं
we,हम
well,कुंआ
what,क्या
which,कौन सा
who,कौन
will,मर्जी
with,साथ
would,चाहेंगे
you,तुम
your,आपका
